"brain_wt","body_wt","species"
5712,6654,"Africanelephant"
6.6,1,"Africangiantpouchedrat"
44.5,3.385,"ArcticFox"
5.7,0.92,"Arcticgroundsquirrel"
4603,2547,"Asianelephant"
179.5,10.55,"Baboon"
0.3,0.023,"Bigbrownbat"
169,160,"Braziliantapir"
25.6,3.3,"Cat"
440,52.16,"Chimpanzee"
6.4,0.425,"Chinchilla"
423,465,"Cow"
2.4,0.55,"Deserthedgehog"
419,187.1,"Donkey"
1.2,0.075,"EasternAmericanmole"
25,3,"Echidna"
3.5,0.785,"Europeanhedgehog"
5,0.2,"Galago"
17.5,1.41,"Genet"
81,60,"Giantarmadillo"
680,529,"Giraffe"
115,27.66,"Goat"
1,0.12,"Goldenhamster"
406,207,"Gorilla"
325,85,"Grayseal"
119.5,36.33,"Graywolf"
4,0.101,"Groundsquirrel"
5.5,1.04,"Guineapig"
655,521,"Horse"
157,100,"Jaguar"
56,35,"Kangaroo"
0.14,0.005,"Lessershort-tailedshrew"
0.25,0.01,"Littlebrownbat"
1320,62,"Man"
3,0.122,"Molerat"
8.1,1.35,"Mountainbeaver"
0.4,0.023,"Mouse"
0.33,0.048,"Muskshrew"
6.3,1.7,"NAmericanopossum"
10.8,3.5,"Nine-bandedarmadillo"
490,250,"Okapi"
15.5,0.48,"Owlmonkey"
115,10,"Patasmonkey"
11.4,1.62,"Phanlanger"
180,192,"Pig"
12.1,2.5,"Rabbit"
39.2,4.288,"Raccoon"
1.9,0.28,"Rat"
50.4,4.235,"Redfox"
179,6.8,"Rhesusmonkey"
12.3,0.75,"Rockhyrax(Heterob)"
21,3.6,"Rockhyrax(Procaviahab)"
98.2,14.83,"Roedeer"
175,55.5,"Sheep"
12.5,1.4,"Slowloris"
1,0.06,"Starnosedmole"
2.6,0.9,"Tenrec"
12.3,2,"Treehyrax"
2.5,0.104,"Treeshrew"
58,4.19,"Vervet"
3.9,3.5,"Wateropossum"
17,4.05,"Yellow-belliedmarmot"
